journal,year,volume,issue,type,title,doi
Journal of Experimental Political Science,2020,7,1,Research Article,Does Poverty Undermine Cooperation in Multiethnic Settings? Evidence from a Cooperative Investment Experiment,10.1017/XPS.2019.19
Journal of Experimental Political Science,2020,7,1,Research Article,Bread and Circuses: Sports and Public Opinion in China,10.1017/XPS.2019.15
Journal of Experimental Political Science,2020,7,1,Short Report,Studying Identities with Experiments: Weighing the Risk of Posttreatment Bias Against Priming Effects,10.1017/XPS.2019.26
Journal of Experimental Political Science,2020,7,1,Short Report,Coethnicity and Corruption: Field Experimental Evidence from Public Officials in Malawi,10.1017/XPS.2019.8
Journal of Experimental Political Science,2020,7,1,Corrigendum,Cross-Sample Comparisons and External Validity – CORRIGENDUM,10.1017/XPS.2019.7
Journal of Experimental Political Science,2020,7,1,Corrigendum,Studying Identities with Experiments: Weighing the Risk of Posttreatment Bias Against Priming Effects – Corrigendum,10.1017/XPS.2019.34
Journal of Experimental Political Science,2020,7,1,Erratum,Does Poverty Undermine Cooperation in Multiethnic Settings? Evidence from a Cooperative Investment Experiment – ERRATUM,10.1017/XPS.2019.30
Journal of Experimental Political Science,2020,7,1,"Front Cover (OFC, IFC) and matter",XPS volume 7 issue 1 Cover and Front matter,10.1017/XPS.2020.1
Journal of Experimental Political Science,2020,7,1,"Back Cover (IBC, OBC) and matter",XPS volume 7 issue 1 Cover and Back matter,10.1017/XPS.2020.2
Journal of Experimental Political Science,2019,6,3,Research Article,Public Voting and Prosocial Behavior,10.1017/XPS.2018.29
Journal of Experimental Political Science,2019,6,3,Research Article,Overseas Credit Claiming and Domestic Support for Foreign Aid,10.1017/XPS.2019.12
Journal of Experimental Political Science,2019,6,3,Research Article,Loss-Framed Arguments Can Stifle Political Activism,10.1017/XPS.2018.28
Journal of Experimental Political Science,2019,6,3,Research Article,Unfair Rules for Unequal Pay: Wage Discrimination and Procedural Justice,10.1017/XPS.2019.11
Journal of Experimental Political Science,2019,6,3,Short Report,Response Bias in Survey Measures of Voter Behavior: Implications for Measurement and Inference,10.1017/XPS.2019.9
Journal of Experimental Political Science,2019,6,3,Short Report,Accounting for Noncompliance in Survey Experiments,10.1017/XPS.2019.13
